iter	Passed	Remaining
0	17	17593
1	31	15917
2	46	15390
3	60	14977
4	72	14464
5	86	14305
6	100	14204
7	112	13923
8	124	13690
9	138	13670
10	149	13456
11	161	13258
12	172	13080
13	183	12913
14	194	12791
15	205	12651
16	217	12550
17	229	12497
18	241	12487
19	256	12588
20	269	12573
21	282	12555
22	294	12499
23	307	12494
24	320	12480
25	333	12492
26	345	12457
27	358	12441
28	369	12386
29	382	12354
30	394	12319
31	406	12287
32	418	12257
33	429	12216
34	441	12166
35	453	12138
36	465	12105
37	476	12056
38	487	12010
39	499	11987
40	510	11950
41	522	11911
42	533	11873
43	544	11837
44	555	11790
45	567	11761
46	578	11720
47	588	11681
48	600	11648
49	611	11617
50	622	11589
51	633	11557
52	645	11540
53	657	11514
54	668	11487
55	680	11476
56	692	11457
57	704	11441
58	715	11411
59	726	11389
60	737	11355
61	749	11336
62	760	11312
63	771	11280
64	782	11253
65	793	11231
66	804	11198
67	814	11169
68	825	11138
69	836	11111
70	847	11082
71	857	11054
72	868	11033
73	879	11005
74	890	10982
75	901	10955
76	911	10929
77	922	10898
78	933	10883
79	944	10864
80	956	10854
81	969	10850
82	980	10836
83	995	10858
84	1011	10883
85	1025	10895
86	1037	10889
87	1049	10879
88	1062	10871
89	1073	10852
90	1084	10836
91	1095	10814
92	1106	10789
93	1117	10769
94	1129	10755
95	1141	10745
96	1152	10729
97	1164	10721
98	1176	10710
99	1188	10700
100	1200	10682
101	1213	10685
102	1227	10690
103	1240	10688
104	1251	10666
105	1262	10645
106	1273	10624
107	1283	10603
108	1294	10581
109	1305	10564
110	1317	10551
111	1329	10539
112	1340	10520
113	1351	10499
114	1362	10481
115	1372	10461
116	1384	10445
117	1395	10430
118	1407	10418
119	1420	10415
120	1433	10413
121	1444	10395
122	1456	10382
123	1467	10366
124	1478	10351
125	1489	10329
126	1500	10312
127	1511	10295
128	1522	10278
129	1533	10260
130	1544	10243
131	1555	10228
132	1566	10209
133	1576	10189
134	1587	10171
135	1597	10151
136	1608	10133
137	1620	10119
138	1630	10101
139	1641	10085
140	1652	10068
141	1663	10052
142	1675	10038
143	1685	10021
144	1690	9967
145	1702	9956
146	1712	9937
147	1723	9924
148	1734	9907
149	1745	9891
150	1756	9876
151	1767	9860
152	1779	9849
153	1790	9837
154	1802	9825
155	1813	9811
156	1824	9795
157	1835	9783
158	1846	9767
159	1857	9750
160	1868	9735
161	1878	9716
162	1889	9701
163	1900	9685
164	1910	9667
165	1920	9650
166	1931	9635
167	1942	9621
168	1953	9606
169	1964	9591
170	1975	9576
171	1986	9564
172	1999	9556
173	2011	9548
174	2023	9537
175	2035	9527
176	2046	9517
177	2058	9507
178	2070	9495
179	2081	9484
180	2093	9473
181	2104	9460
182	2117	9454
183	2129	9442
184	2140	9429
185	2152	9420
186	2163	9405
187	2174	9393
188	2186	9380
189	2197	9367
190	2209	9360
191	2220	9345
192	2231	9330
193	2242	9315
194	2253	9302
195	2264	9288
196	2275	9275
197	2286	9261
198	2298	9251
199	2310	9242
200	2321	9229
201	2332	9215
202	2343	9200
203	2354	9186
204	2367	9180
205	2378	9168
206	2389	9154
207	2401	9143
208	2412	9130
209	2423	9118
210	2435	9105
211	2446	9093
212	2457	9079
213	2468	9068
214	2480	9055
215	2490	9040
216	2501	9027
217	2513	9014
218	2524	9002
219	2535	8987
220	2547	8978
221	2560	8973
222	2571	8959
223	2582	8948
224	2593	8934
225	2604	8919
226	2615	8907
227	2626	8892
228	2637	8878
229	2648	8865
230	2659	8853
231	2671	8842
232	2683	8834
233	2697	8830
234	2711	8825
235	2725	8824
236	2739	8819
237	2753	8815
238	2767	8811
239	2781	8809
240	2796	8806
241	2809	8800
242	2825	8802
243	2840	8800
244	2855	8798
245	2869	8795
246	2883	8789
247	2895	8780
248	2907	8770
249	2919	8757
250	2929	8742
251	2940	8728
252	2951	8713
253	2962	8699
254	2972	8685
255	2984	8673
256	2995	8659
257	3006	8646
258	3017	8633
259	3029	8623
260	3041	8611
261	3054	8602
262	3065	8591
263	3078	8581
264	3089	8568
265	3100	8554
266	3111	8541
267	3122	8527
268	3132	8513
269	3144	8500
270	3155	8489
271	3166	8476
272	3177	8462
273	3188	8449
274	3200	8436
275	3211	8423
276	3221	8409
277	3233	8396
278	3244	8385
279	3255	8371
280	3267	8360
281	3278	8346
282	3289	8334
283	3304	8330
284	3317	8322
285	3328	8308
286	3338	8294
287	3349	8281
288	3361	8268
289	3371	8253
290	3382	8241
291	3393	8227
292	3403	8213
293	3415	8201
294	3426	8188
295	3437	8174
296	3448	8162
297	3459	8149
298	3470	8135
299	3481	8123
300	3492	8109
301	3504	8099
302	3515	8086
303	3526	8073
304	3537	8060
305	3548	8047
306	3559	8034
307	3569	8020
308	3580	8007
309	3592	7995
310	3603	7982
311	3614	7969
312	3624	7956
313	3635	7942
314	3646	7928
315	3656	7915
316	3668	7903
317	3679	7892
318	3690	7879
319	3702	7866
320	3714	7857
321	3729	7853
322	3740	7840
323	3751	7828
324	3763	7816
325	3774	7803
326	3785	7790
327	3797	7780
328	3808	7767
329	3819	7754
330	3830	7741
331	3840	7727
332	3851	7715
333	3862	7702
334	3872	7688
335	3883	7674
336	3894	7661
337	3904	7647
338	3915	7633
339	3926	7621
340	3937	7608
